Dataset_ID,Title,Theme,Description,Creation_Date,Completion_Date,Last_Update,Format ,Language,Geography,License ,Layer,Language_Resource,Knowledge_Resource,Data_Resource,Web_Page,Author,Project
Dataset_S_1,Opendata,Transportation,"Urban and suburban public transport data in GTFS format. Main information available: list of stops (georeferenced), list of lines, routes and arrival and departure times.",2022-11-06,2022-09-05,2023-06-09,CSV-GTFS,EN,Trentino (IT),CC-BY 2.5,Data,,Dataset_S_5,,https://www.trentinotrasporti.it/open-data,Trentino Trasporti S.p.A.,KGE_P_1
Dataset_S_2,Bikesharing Pergine,Transportation,"Real-time data, coming from the e-Motion project, relating to the availability of bicycles at bikesharing stations in the municipalities of Pergine Valsugana",2014-11-18,2017-06-19,2017-07-03,JSON,IT,Trentino (IT),CC-BY 4.0,Data,,,,https://os.smartcommunitylab.it/core.mobility/bikesharing/pergine_valsugana,Servizio Trasporti pubblici,KGE_P_1
Dataset_S_3,Bikesharing Lavis,Transportation,"Real-time data, coming from the e-Motion project, relating to the availability of bicycles at bikesharing stations in the municipalities of Lavis",2014-11-18,2017-11-21,2017-11-21,JSON,IT,Trentino (IT),CC-BY 4.0,Data,,,,https://dati.trentino.it/dataset/stazioni-bike-sharing-emotion-trentino/resource/e642bac9-06db-43a8-80df-684d031db2ec,Servizio Trasporti pubblici,KGE_P_1
Dataset_S_4,Stazioni Bikesharing Trentino,Transportation,"Real-time data, coming from the e-Motion project, relating to the availability of bicycles at bikesharing stations in the municipalities of Lavis, Mezzolombardo, Mezzocorona, Pergine Valsugana, Rovereto, San Michele all'Adige, Trento",,2014-11-18,2017-07-03,JSON,IT,Trentino (IT),CC-BY 4.0,Data,,,Dataset_S_2,https://dati.trentino.it/dataset/stazioni-bike-sharing-emotion-trentino,Servizio Trasporti pubblici,KGE_P_1
Dataset_S_4,Stazioni Bikesharing Trentino,Transportation,"Real-time data, coming from the e-Motion project, relating to the availability of bicycles at bikesharing stations in the municipalities of Lavis, Mezzolombardo, Mezzocorona, Pergine Valsugana, Rovereto, San Michele all'Adige, Trento",,2014-11-18,2017-07-03,JSON,IT,Trentino (IT),CC-BY 4.0,Data,,,Dataset_S_3,https://dati.trentino.it/dataset/stazioni-bike-sharing-emotion-trentino,Servizio Trasporti pubblici,KGE_P_1
Dataset_S_5,Static Transit,Transportation,This document defines the format and structure of the files that comprise a GTFS dataset.,,,,TXT,EN,Trentino (IT),CC BY 4.0,Knowledge,,,Dataset_S_1,https://developers.google.com/transit/gtfs/reference,Google Transit,KGE_P_1
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_1,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_3,KGE_P_1
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_1,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_4,KGE_P_1
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_2,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_3,KGE_P_1
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_2,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_4,KGE_P_1
