Project ID,Knowledge Resource,Live Knowledge Webpage,Live Data Webpage,Live Language Webpage
Project_0,KL_1,http://datascientia/livedata/Project_0,http://datascientia/livedata/Project_0,http://datascientia/livelanguage/Project_0
Project_1,KL_2,url_KL_2,url_DL_2,url_LL_2
Project_2,KL_3,url_KL_3,url_DL_3,url_LL_3
Project_3,KL_4,url_KL_4,url_DL_4,url_LL_4
Project_5,KL_5,url_KL_5,url_DL_5,url_LL_5
Project_6,KL_6,url_KL_6,url_DL_6,url_LL_6
Project_7,KL_7,url_KL_7,url_DL_7,url_LL_7
Project_8,KL_8,url_KL_8,url_DL_8,url_LL_8
Project_9,KL_9,url_KL_9,url_DL_9,url_LL_9
Project_10,KL_10,url_KL_10,url_DL_10,url_LL_10
Project_11,KL_11,url_KL_11,url_DL_11,url_LL_11
Project_12,KL_12,url_KL_12,url_DL_12,url_LL_12
Project_13,KL_13,url_KL_13,url_DL_13,url_LL_13
