Project_ID,Title,Theme_ID,Description,Creation Date,Last Update,Completion Date,Access,Distribution,Author,Maintainer,Source,License,Data Layer,Knowledge Layer,Language Layer
Project_0,DataScientia,Theme_1,"DataScientia - a soon-to-be-established not-for-profit organization whose ultimate aim is the creation of a grass-roots community centered around the development and dissemination of a unitary knowledge-driven understanding of the people’s diversity, as it is represented by the data in the Internet.",,,,Public,,6; 19; 20; 22; 23; 24; 17,41,http://datascientia.disi.unitn.it,,http://datascientia/liveproject/Project_0/livedata,http://datascientia/liveproject/Project_0/liveknowledge,http://datascientia/liveproject/Project_0/livelanguage
Project_1,Trentino Transportation,Theme_2,Repository for Trentino_Transportation data integration project,22/12/2020,27/01/2021,27/01/2021,Public,ttl; rdf; csv,1; 16,1; 16,https://carlocorradini.github.io/Trentino_Transportation/,Apache License 2.0,DL_2,KL_2,LL_2
Project_2,RSV vaccine,Theme_3,"
Study of Safety, Reactogenicity and Immunogenicity of GlaxoSmithKline's (GSK)Respiratory Syncytial Virus (RSV)Maternal Unadjuvanted Vaccine in Healthy Pregnant Women (Aged 18 to 40 Years) and Their Infants",05/11/2019,14/05/2021,14/05/2021,Public,tsv,2,2,https://clinicaltrials.gov/ct2/show/study/NCT04126213,CC BY-ND,DL_3,KL_3,LL_3
Project_3,Events in Trentino,Theme_4,Project’s scope intersects the Event domain with the University Student Life within Trentino’s area.,29/11/2021,26/1/2022,26/1/2022,Public,ttl; rdf; csv,3,3,https://annafetz.github.io/,Apache License 2.0,DL_4,KL_4,LL_4
Project_5,DataScientia Web Portal,Theme_5,Repository for metadata data integration project,10/11/2022,,,Private,,4,4,NA,Apache License 2.0,DL_5,KL_5,LL_5
Project_6,Vitis OneGenE,Theme_6,"OneGene project is a joint effort of three research groups sharing their complementary expertise in the fields of biology, bioinformatics and computation and a common interest in understanding the secrets of life.",01/01/2013,12/10/2022,,Public,csv,7,7,http://ibdm.disi.unitn.it/download-2/,CC BY,DL_6,KL_6,LL_6
Project_7,Education In Trentino - Data Integration,Theme_7,Repository for Education In Trentino data integration project,18/01/2022,18/01/2022,18/01/2022,Public,ttl; rdf; csv,12,12,https://alihamzaunitn.github.io/kdi-educationtrentino/,Apache License 2.0,DL_7,KL_7,LL_7
Project_8,Trentino territory,Theme_8,Repository for Trentino territory data integration project,24/11/2021,24/12/2021,24/12/2021,Public,ttl; rdf; csv,13,13,https://andrefrigo.github.io/Trentino-territory/,Apache License 2.0,DL_8,KL_8,LL_8
Project_9,EHS_integration,Theme_9,Repository for EHS data integration project,08/06/2022,09/06/2022,09/06/2022,Public,ttl; rdf; csv,14,14,https://askela-srk.github.io/EHS_integration/,Apache License 2.0,DL_9,KL_9,LL_9
Project_10,DU@Trento production (Digital University),Theme_10,"Academic Data Integration, Website data access, Competence representation, Evaluation, GDPR, Open Data",01/2018,,,Private,,30,30,NA,,DL_10,KL_10,LL_10
Project_11,Multilingual and multi-domain semantic matching,Theme_11,"Research and develop applications for the matching of schemas, ontologies, and classifications in multiple languages and for multiple domains.",2007,02/08/2018,,Public,,29,29,https://github.com/s-match/,GNU Lesser General Public License v2.1,DL_11,KL_11,LL_11
Project_12,The Mongolian Wordnet,Theme_12,"The Mongolian Wordnet is a freely available, lexico-semantic resource for the Mongolian language",4/12/2019,14/11/2021,,Public,tsv,28,28,http://ukc.disi.unitn.it/index.php/monwordnet/,CC BY-SA 4.0,DL_12,KL_12,LL_12
Project_13,SmartSociety,Theme_13,"Development of a science for computational humanism, and the design and testing of cooperative economy applications able to combine human agency with artificial intelligence",2013,2017,2017,Public,,31,31,http://www.smart-society-project.eu/,,DL_13,KL_13,LL_13
